kelime,simdiki_pozisyon,bir_ay_once_pozisyon,degisim,gosterim_14g,tik_14g
"mash branda",1.0,YENİ,-,2,0
"mersin fotokopi",1.0,YENİ,-,2,0
"yangınla mücadele ekipmanını gösteren işaret levhası",1.0,YENİ,-,2,0
"dekota baski",1.0,YENİ,-,1,1
"cmyk nedir",1.0,YENİ,-,1,0
"kapı kolu broşür",1.0,2.5,+1.5,1,0
"matbaa mersin",1.0,YENİ,-,1,0
"ni is",1.0,YENİ,-,1,0
"roll up fiyatları",1.0,YENİ,-,1,0
"rollup fiyatları",1.0,YENİ,-,1,0
"kapı askı broşür",1.5,1.3,-0.2,8,0
"dosya kapalı",1.7,YENİ,-,3,0
"matbaa",2.0,YENİ,-,2,0
"reklam afiş",2.0,YENİ,-,2,0
"baskı",2.0,YENİ,-,1,0
"branda baskı",2.0,YENİ,-,1,0
"dijital baskı mersin",2.0,YENİ,-,1,0
"kamyon makas takozu",2.0,YENİ,-,1,0
"mark ala",2.0,YENİ,-,1,0
"marka la",2.0,4.0,+2.0,1,0
"point com",2.0,YENİ,-,1,0
"mersin matbaa",2.3,53.0,+50.8,4,0
"markala",2.4,2.9,+0.5,53,17
"kartvizit",3.0,YENİ,-,2,0
"bina no",3.0,YENİ,-,1,0
"mersin baskı merkezi",3.0,YENİ,-,1,0
"mersin reklam baskı",3.0,YENİ,-,1,0
"topraklama işareti nedir",3.1,YENİ,-,7,0
"alo itfaiye",4.0,YENİ,-,2,0
"etiket numaratör",4.0,18.7,+14.7,1,0
"mersin de",4.0,YENİ,-,1,0
"elektrik topraklama işareti",4.5,YENİ,-,4,0
"approved sticker",4.5,5.0,+0.5,2,0
"topraklama simgesi",4.8,1.0,-3.8,5,0
"topraklama işareti",4.9,1.9,-3.0,82,0
"..com",5.0,YENİ,-,1,0
"go print tr",5.0,YENİ,-,1,0
"elektrikte toprak işareti",5.2,YENİ,-,5,0
"toprak işareti",5.4,27.0,+21.6,14,0
"dijital",5.7,YENİ,-,3,0
"printer",6.0,YENİ,-,1,0
"100",6.3,YENİ,-,3,0
"com",6.5,YENİ,-,2,0
"güvenlik işaretlerinde aşağıdakilerden renklerden hangisi yasakları, yangınla mücadeleyi ve tehlike alarmlarını belirtir? kırmızı sarı mavi yeşil",6.5,YENİ,-,2,0
"topraklama sembolü",6.6,1.2,-5.4,16,0
"markalama makinesi",7.0,YENİ,-,2,0
"12.960",7.0,YENİ,-,1,0
"markayla",7.0,1.0,-6.0,1,0
