order,tier,school_relevance,product_slug,product_name,category_slug,template,r2_key_cover,output_files,master_source,status
1,P0,okul-core,kristal-plaket,Kristal Plaket — Lazer Kazıma,plaket,T1,products/kristal-plaket-1.webp,kristal-plaket-1..5.webp,prod_r2_cover,NEEDS_MASTER_angles2-5
2,P0,okul-core,madalya-7cm-kurdela,Madalya — 7cm Kurdela Dahil,madalya,T2,products/madalya-7cm-kurdela-1.webp,madalya-7cm-kurdela-1..5.webp,prod_r2_cover,NEEDS_MASTER_angles2-5
3,P0,okul-core,klasik-beyaz-kupa,Klasik Beyaz Kupa (ödül),kupa,T6,products/klasik-beyaz-kupa-1.webp,klasik-beyaz-kupa-1..5.webp,prod_r2_cover,NEEDS_MASTER_angles2-5
4,P0,okul-core,sertifika-diploma,Sertifika / Diploma Baskısı,sertifika,T3,products/sertifika-diploma-1.webp,sertifika-diploma-1..5.webp,NEW_PRODUCT,BLOCKED_no_product_no_master
5,P0,okul-core,lanyard-15mm,Lanyard 15mm Sublimasyon,lanyard,T4,products/lanyard-15mm-1.webp,lanyard-15mm-1..5.webp,MISSING_verify,NEEDS_MASTER_all
6,P0,okul-core,lanyard-10mm,Lanyard 10mm İnce,lanyard,T4,products/lanyard-10mm-1.webp,lanyard-10mm-1..5.webp,MISSING_verify,NEEDS_MASTER_all
7,P0,okul-core,yaka-karti-sert,Sert PVC Yaka Kartı,yaka-karti,T4,products/yaka-karti-sert-1.webp,yaka-karti-sert-1..5.webp,MISSING_verify,NEEDS_MASTER_all
8,P0,okul-core,yaka-karti-standart,Standart Yaka Kartı,yaka-karti,T4,products/yaka-karti-standart-1.webp,yaka-karti-standart-1..5.webp,MISSING_verify,NEEDS_MASTER_all
9,P0,okul-core,kurumsal-davetiye,Kurumsal Davetiye (tören/mezuniyet),davetiye,T4,products/kurumsal-davetiye-1.webp,kurumsal-davetiye-1..5.webp,MISSING_verify,NEEDS_MASTER_all
10,P0,okul-core,dugum-davetiyesi,Davetiye (mezuniyet/balo bağlamı),davetiye,T4,products/dugum-davetiyesi-1.webp,dugum-davetiyesi-1..5.webp,MISSING_verify,NEEDS_MASTER_all
11,P1,okul-idare,klasik-kartvizit,Klasik Kartvizit,kartvizit,T4,products/klasik-kartvizit-1.webp,klasik-kartvizit-1..5.webp,prod_r2_cover,NEEDS_MASTER_angles2-5
12,P1,okul-idare,trodat-printy-4912,Trodat Printy 4912 Kaşe,kase,T5,products/trodat-printy-4912-1.webp,trodat-printy-4912-1..5.webp,prod_r2_cover,NEEDS_MASTER_angles2-5
13,P1,okul-idare,antetli-kagit,Antetli Kağıt — 90 gr 1.Hamur,antetli-kagit,T4,products/antetli-kagit-1.webp,antetli-kagit-1..5.webp,prod_r2_cover,NEEDS_MASTER_angles2-5
